Zone_Number,Jobs,ParkTrail,ActivityCenter,Grocery,HealthFac,SchoolU,Count
1,463125,204,33,20,101,224,323
2,487094,243,40,23,113,270,370
3,520975,269,47,24,130,320,422
4,530808,296,50,28,136,358,450
5,579947,366,59,31,147,390,530
6,601515,380,59,35,163,415,559
7,559535,323,53,29,143,359,496
8,587316,354,58,35,157,402,532
9,539061,334,51,37,139,330,487
10,563423,334,52,36,145,390,511
11,560576,341,53,34,144,400,511
12,581382,362,54,40,154,421,551
13,597712,378,55,35,155,430,555
14,620659,418,59,41,165,464,601
15,634726,417,63,38,168,458,599
16,665573,464,70,47,181,502,665
17,672320,474,69,47,188,514,669
18,692861,495,73,50,193,524,704
19,685848,495,73,48,197,524,689
20,690004,510,75,51,196,536,703
21,700022,515,77,51,204,542,718
22,706057,517,79,52,210,555,727
23,695360,505,77,54,202,537,702
24,666616,468,72,48,189,506,668
25,616379,409,63,44,181,441,595
26,623603,420,66,47,181,438,607
27,608757,415,69,46,177,427,593
28,693271,501,77,54,203,536,696
29,653127,439,69,46,191,481,637
30,629490,449,71,50,187,468,630
31,665423,484,81,55,197,476,688
32,608874,403,61,45,165,466,616
33,644805,439,67,48,185,490,660
34,601617,395,59,43,162,448,592
35,642175,433,67,46,184,478,636
36,665685,462,70,49,191,514,664
37,693550,496,76,54,200,541,706
38,713131,520,76,56,207,549,731
39,759506,580,83,63,230,596,800
40,768589,597,85,63,233,601,815
41,769635,599,90,68,237,599,818
42,764823,593,93,64,231,607,812
43,810147,639,95,73,250,640,869
44,791092,626,94,67,240,629,843
45,740427,567,88,62,221,581,779
46,713513,532,82,55,212,560,740
47,679348,487,75,49,200,516,683
48,649388,459,75,51,198,497,659
49,648515,461,77,50,194,481,659
50,662384,477,82,52,203,476,677
51,659147,455,69,49,190,498,660
52,734817,532,84,61,220,567,765
53,751275,550,85,63,228,583,780
54,787868,606,89,70,245,626,845
55,774971,590,87,66,240,613,825
56,811953,619,92,75,257,642,872
57,787719,615,91,70,250,624,850
58,798719,622,94,71,249,633,858
59,824405,653,98,75,262,659,893
60,808118,653,100,75,255,647,884
61,724804,557,85,60,215,577,776
62,661120,469,76,53,199,510,687
63,692366,507,89,58,216,523,724
64,654289,462,69,47,185,498,670
65,734209,533,78,58,224,563,767
66,748056,537,78,59,229,571,776
67,765113,562,82,62,241,592,796
68,788990,595,89,67,253,621,834
69,846380,656,96,75,279,674,912
70,841815,658,99,78,267,674,913
71,875626,698,103,86,280,699,957
72,831236,659,97,79,273,676,920
73,829566,654,95,75,264,668,907
74,830127,670,99,80,270,679,930
75,833766,674,97,78,268,675,925
76,853602,697,101,82,276,690,947
77,827485,665,98,78,261,658,910
78,779121,614,96,71,246,627,857
79,739923,575,92,64,230,589,817
80,842632,687,100,79,274,675,938
81,806119,637,97,73,254,641,884
82,756156,587,96,68,233,597,832
83,717989,538,85,60,214,572,774
84,703888,517,81,60,213,558,745
85,733463,547,89,63,224,565,781
86,744290,544,84,61,226,580,777
87,785187,596,89,69,247,626,835
88,856218,669,99,78,273,685,924
89,863577,688,106,85,274,696,953
90,851864,674,101,82,268,684,936
91,850847,673,100,82,277,685,943
92,828296,678,101,76,273,663,933
93,841758,698,101,80,279,686,952
94,834955,691,100,78,276,674,940
95,797534,632,96,74,255,630,880
96,769824,599,94,70,233,614,846
97,749961,568,88,67,226,596,810
98,842727,708,104,83,277,681,962
99,804636,648,102,77,253,640,898
100,752140,579,92,67,225,599,822
101,718061,539,84,63,219,561,775
102,700636,509,80,58,211,544,740
103,747124,563,92,65,236,578,795
104,612078,407,64,47,168,471,608
105,632510,431,67,50,173,493,642
106,729564,520,82,59,221,566,751
107,767056,588,91,61,235,616,816
108,768693,573,86,65,224,608,809
109,791648,611,93,70,243,635,861
110,746945,567,85,63,227,596,797
111,769844,592,94,69,233,616,838
112,803324,643,98,77,245,650,887
113,785935,617,96,71,242,629,855
114,806626,640,97,76,250,649,888
115,795854,624,97,74,246,632,871
116,770896,603,96,72,233,617,841
117,720823,540,88,65,219,568,781
118,687354,497,80,58,211,533,734
119,733196,548,90,64,222,579,786
120,666563,463,76,52,203,510,692
121,672210,485,78,51,196,513,697
122,732115,556,93,68,227,556,781
123,612491,389,60,42,168,447,584
124,542726,300,48,31,142,369,466
125,675558,467,70,51,200,526,693
126,614973,413,61,48,167,478,609
127,575976,352,54,39,155,419,532
128,609786,382,59,43,172,457,578
129,661064,469,69,50,189,531,675
130,607149,396,60,40,169,465,586
131,678391,484,75,54,200,528,710
132,649655,444,70,45,194,502,659
133,696184,514,83,63,210,547,747
134,689693,487,78,54,214,544,724
135,682087,482,78,55,209,528,717
136,617252,398,66,48,182,454,609
137,684836,502,80,55,212,547,732
138,600308,367,59,35,177,443,564
139,561520,319,56,33,168,402,495
140,579702,353,59,34,176,431,545
141,554629,321,56,31,168,404,493
142,556643,326,56,31,173,405,498
143,511754,271,49,28,150,350,423
401,600083,378,57,42,166,447,567
402,651008,423,66,41,194,492,634
403,637807,415,66,40,192,486,619
404,544840,303,52,29,162,394,471
405,509762,275,48,27,145,368,427
406,520231,286,52,29,158,371,433
407,634977,401,65,45,180,463,628
408,613242,400,60,38,170,455,600
409,649577,445,64,42,190,482,643
410,627234,416,60,48,180,476,624
411,631517,419,65,41,189,469,613
412,625255,399,59,44,183,453,610
413,565553,328,57,37,166,392,498
414,668338,464,68,48,193,498,681
415,526038,288,51,30,153,380,450
416,722343,501,81,62,227,533,737
417,562440,338,53,31,161,406,510
418,590093,352,54,40,170,420,542
419,643730,446,60,42,189,481,649
420,499188,264,48,27,129,342,409
421,529190,288,52,28,153,351,430
422,493549,255,46,25,135,309,372
423,517902,277,50,29,148,346,411
424,501965,266,49,29,145,332,389
425,419554,201,38,22,113,246,298
426,602394,373,55,45,182,448,574
427,669454,492,68,48,206,504,679
428,629992,427,61,39,186,467,617
429,552848,323,51,32,151,372,500
430,672533,477,68,46,206,493,671
431,607474,394,62,33,182,450,559
432,524522,304,51,24,141,357,444
433,508524,274,50,29,147,336,408
434,471780,245,47,25,132,303,371
435,478206,253,48,27,144,319,387
601,519774,286,46,27,138,339,431
602,499836,243,41,29,123,303,390
603,544615,314,48,34,145,371,477
604,529409,295,47,30,138,349,451
605,435875,185,28,19,96,220,289
606,504513,253,41,29,125,314,404
607,507010,256,41,29,128,317,406
608,510713,267,42,29,130,327,417
609,42189,59,6,5,16,64,70
610,453591,204,31,23,105,250,324
611,276914,125,20,12,58,143,201
612,565085,329,50,35,155,395,507
613,442439,196,32,23,95,233,310
614,510646,252,41,28,133,321,408
615,228182,128,19,11,57,143,186
