Zone_Number,Jobs,ParkTrail,ActivityCenter,Grocery,HealthFac,SchoolU,Count
1,2186199,2352,264,260,738,1750,2338
2,2208001,2391,265,261,746,1765,2357
3,2164054,2317,262,257,727,1736,2310
4,2159854,2325,264,255,735,1732,2308
5,2100675,2265,257,257,723,1699,2271
6,2133022,2290,258,259,730,1727,2295
7,2081931,2228,254,254,711,1689,2243
8,2112246,2262,256,258,718,1707,2269
9,2116291,2237,257,259,718,1688,2247
10,2195404,2370,265,259,743,1764,2339
11,2173525,2355,264,258,739,1752,2329
12,2175601,2365,264,258,740,1756,2330
13,2157010,2324,262,260,731,1740,2309
14,2174719,2359,264,261,739,1752,2331
15,2138556,2307,259,260,734,1734,2304
16,2129351,2286,256,261,723,1715,2291
17,2165252,2323,260,261,737,1745,2317
18,2142518,2309,259,260,734,1734,2305
19,2155298,2315,260,260,732,1735,2311
20,2148063,2309,259,262,729,1726,2305
21,2162558,2322,261,264,733,1733,2316
22,2141519,2299,257,262,724,1719,2299
23,2148871,2304,260,263,729,1726,2307
24,2132460,2282,258,259,726,1717,2292
25,2134648,2289,261,262,727,1715,2290
26,2123534,2278,259,261,722,1711,2278
27,2129131,2271,258,261,721,1704,2272
28,2137457,2291,259,262,726,1719,2297
29,2134295,2288,260,262,727,1713,2288
30,2152651,2311,260,264,728,1726,2300
31,2142113,2288,258,262,724,1716,2287
32,2216841,2414,268,266,747,1793,2367
33,2198745,2396,264,263,742,1778,2354
34,2196406,2383,264,260,742,1772,2343
35,2188591,2388,264,261,741,1769,2348
36,2194229,2390,265,263,744,1770,2353
37,2214626,2396,266,264,746,1777,2363
38,2199003,2371,266,262,743,1765,2345
39,2153876,2319,258,260,732,1740,2313
40,2177523,2336,263,265,741,1748,2328
41,2191694,2351,265,266,743,1753,2340
42,2185018,2345,265,266,741,1745,2337
43,2149869,2305,258,263,729,1726,2306
44,2202074,2365,265,267,743,1747,2343
45,2188160,2350,265,267,737,1740,2332
46,2169572,2325,263,265,732,1732,2315
47,2153617,2303,260,263,729,1720,2295
48,2160409,2310,260,264,729,1729,2300
49,2153138,2307,259,263,725,1728,2299
50,2152926,2306,259,263,725,1727,2298
51,2214889,2422,266,265,746,1788,2377
52,2212728,2394,266,264,746,1773,2361
53,2225478,2428,266,266,748,1784,2380
54,2225478,2428,266,266,748,1784,2380
55,2227104,2406,266,267,748,1776,2368
56,2229158,2391,268,267,742,1779,2363
57,2232207,2398,269,267,744,1779,2368
58,2191872,2351,264,265,740,1751,2341
59,2221688,2401,267,270,748,1774,2371
60,2215000,2386,264,266,744,1769,2361
61,2195684,2365,265,267,740,1752,2345
62,2206708,2369,265,268,740,1752,2351
63,2141346,2286,258,263,724,1715,2282
64,2212288,2437,271,263,748,1793,2363
65,2226995,2438,266,267,747,1797,2388
66,2237228,2455,268,267,751,1803,2400
67,2242183,2460,267,269,751,1810,2405
68,2237184,2451,267,268,751,1805,2399
69,2240306,2435,270,268,754,1791,2389
70,2240306,2435,270,268,754,1791,2389
71,2251929,2432,272,270,755,1789,2390
72,2228165,2400,265,268,743,1771,2365
73,2269715,2449,272,274,755,1798,2398
74,2280174,2467,272,273,755,1809,2412
75,2215335,2392,264,269,743,1766,2363
76,2206970,2372,263,266,741,1761,2351
77,2211944,2377,264,266,743,1767,2356
78,2231317,2393,265,268,744,1768,2368
79,2231819,2396,265,268,744,1769,2369
80,2201869,2367,263,266,739,1751,2346
81,2231819,2396,265,268,744,1769,2369
82,2231819,2396,265,268,744,1769,2369
83,2204026,2364,263,267,735,1749,2347
84,2236026,2413,267,272,751,1773,2378
85,2211454,2389,265,270,747,1766,2364
86,2241906,2457,271,267,751,1808,2402
87,2254785,2468,271,270,756,1810,2411
88,2264501,2480,273,271,757,1810,2418
89,2286341,2492,272,275,761,1812,2425
90,2284395,2490,270,274,757,1810,2423
91,2282960,2477,270,274,756,1809,2420
92,2295001,2484,272,274,758,1815,2426
93,2206525,2371,264,266,741,1756,2350
94,2265708,2436,268,273,752,1789,2397
95,2218959,2398,265,266,744,1775,2370
96,2217342,2381,265,268,742,1756,2356
97,2222602,2384,265,269,744,1759,2360
98,2269547,2443,271,273,752,1794,2400
99,2245270,2423,266,271,752,1788,2387
100,2244246,2416,266,270,752,1784,2384
101,2241566,2420,265,271,749,1781,2382
102,2238231,2418,267,272,751,1774,2379
103,2225625,2407,265,270,748,1774,2374
104,2247131,2489,277,270,758,1823,2411
105,2258980,2495,275,271,757,1824,2418
106,2260113,2479,273,270,757,1819,2419
107,2284311,2508,273,272,760,1831,2435
108,2295830,2522,273,276,762,1831,2445
109,2301841,2519,271,274,758,1825,2445
110,2315003,2540,275,277,764,1837,2459
111,2316159,2534,275,278,766,1836,2455
112,2250544,2423,265,272,746,1780,2383
113,2299629,2484,272,275,759,1814,2425
114,2300284,2487,272,275,759,1815,2428
115,2302702,2495,273,277,762,1820,2430
116,2270365,2455,267,275,756,1799,2404
117,2270365,2455,267,275,756,1799,2404
118,2245750,2426,265,271,750,1783,2386
119,2300521,2489,273,276,759,1817,2424
120,2295600,2478,273,275,757,1814,2421
121,2261153,2466,267,272,753,1805,2409
122,2205139,2378,263,269,741,1758,2351
123,2247974,2477,272,269,752,1817,2400
124,2248915,2487,275,270,754,1823,2399
125,2243041,2446,267,269,749,1803,2390
126,2274071,2488,273,274,761,1821,2426
127,2247154,2445,266,270,751,1796,2392
128,2233095,2443,270,269,751,1804,2384
129,2294241,2515,273,276,762,1827,2439
130,2246784,2425,267,270,748,1789,2386
131,2316745,2538,277,276,765,1837,2458
132,2264583,2436,275,273,754,1794,2399
133,2292942,2478,272,275,758,1807,2417
