TAZ,TAZT,Jobs,ParkTrail,ActivityCenter,Grocery,HealthFac,SchoolU
1037,1037,3637,1,1,0,3,1
1206,1206,1081,1,0,0,0,2
1212,1212,412,2,0,0,1,1
1213,1213,559,0,1,0,1,2
1224,1224,224,1,1,1,1,0
1401,1401,343,1,0,0,0,1
1403,1403,375,0,0,1,1,1
1421,1421,1421,1,1,0,0,1
1429,1429,323,0,0,1,0,1
1601,1601,838,0,0,0,0,2
1620,1620,290,0,1,0,1,1
1624,1624,506,0,0,1,0,1
1628,1628,408,0,0,0,0,1
1816,1816,418,1,0,0,1,2
2203,2203,578,1,1,0,0,3
2213,2213,879,0,0,0,3,0
2216,2216,590,1,2,1,0,1
2402,2402,299,1,0,0,0,2
2407,2407,1533,1,2,1,1,4
2414,2414,194,1,0,0,1,0
2415,2415,275,0,0,1,0,2
2428,2428,202,1,0,0,0,1
2434,2434,630,1,1,0,0,0
2632,2632,1486,0,0,0,1,2
2643,2643,280,0,1,0,0,1
2816,2816,1265,1,1,2,4,2
3001,3001,1655,2,0,0,0,2
3031,3031,550,1,0,0,0,2
3208,3208,1142,1,0,0,1,0
3408,3408,432,1,0,0,0,1
3411,3411,1396,0,1,0,3,3
3419,3419,474,1,1,0,0,1
3603,3603,579,1,1,1,1,2
3608,3608,713,1,0,1,2,0
3610,3610,3617,0,3,2,2,1
3612,3612,819,1,0,1,0,1
4247,4247,526,3,2,0,0,1
4249,4249,522,1,0,0,0,1
4411,4411,1089,1,0,1,0,2
4412,4412,249,1,0,0,0,1
4416,4416,1824,1,0,0,0,3
4427,4427,2136,1,0,1,1,4
4434,4434,264,1,0,0,0,1
4452,4452,228,1,0,0,0,2
4462,4462,304,1,0,1,0,1
4612,4612,720,1,1,0,0,0
4623,4623,1195,1,0,0,0,1
4814,4814,2810,2,0,0,6,1
4828,4828,180,1,0,0,0,1
3615,3615,259,1,0,1,0,3
4003,4003,655,1,0,0,2,2
4004,4004,1880,2,1,1,0,4
4013,4013,176,0,0,0,0,1
4030,4030,659,1,0,0,0,2
4041,4041,294,1,0,0,0,1
4045,4045,546,1,0,0,2,0
4202,4202,666,2,0,0,0,1
4205,4205,409,1,0,0,1,1
4216,4216,255,0,0,0,0,1
4244,4244,294,1,0,0,0,1
4245,4245,218,1,0,0,0,1
25,25,221,1,0,0,1,0
54,54,2313,0,0,0,1,0
129,129,2940,2,0,0,1,1
138,138,621,1,0,0,1,1
408,408,115,1,0,0,0,1
409,409,876,0,1,1,2,1
410,410,788,1,0,0,1,2
430,430,568,0,0,0,0,1
620,620,567,0,0,0,0,1
819,819,1066,0,0,0,0,2
839,839,279,0,0,0,1,0
1012,1012,57,2,0,0,1,0
6211,6211,419,1,0,0,0,1
6412,6412,411,1,0,0,1,0
7023,7023,1123,1,0,0,0,1
7031,7031,1455,1,0,0,1,1
7047,7047,1606,2,0,1,0,0
7202,7202,1861,3,0,0,0,3
7213,7213,172,2,1,0,0,0
7238,7238,137,2,0,0,0,2
8413,8413,578,1,0,0,0,1
8416,8416,63,2,0,0,1,0
10002,10002,895,1,0,0,0,2
10033,10033,326,1,0,0,0,1
10206,10206,849,1,0,0,0,1
10209,10209,3523,1,0,0,0,2
8007,8007,2716,0,0,0,2,2
8010,8010,2209,1,0,0,1,4
8011,8011,2511,1,0,2,1,0
8204,8204,208,2,0,1,0,0
8210,8210,1171,2,0,0,0,1
5021,5021,227,2,0,0,0,1
5024,5024,122,0,0,0,1,1
5025,5025,774,1,0,0,0,2
5040,5040,317,2,0,0,0,2
5041,5041,582,1,0,0,0,1
5044,5044,666,1,0,0,0,4
5056,5056,2029,0,0,0,1,0
5059,5059,2988,0,1,0,1,1
6005,6005,1587,1,0,0,1,0
6016,6016,831,1,1,1,0,0
11009,11009,657,2,0,0,1,0
11029,11029,358,0,0,0,0,2
11039,11039,174,1,1,0,0,0
11208,11208,468,1,0,0,0,1
11411,11411,90,1,0,0,0,1
11604,11604,1110,2,0,1,0,0
11606,11606,255,1,0,0,0,1
11621,11621,1500,2,0,0,2,0
11623,11623,1297,3,0,2,0,0
12236,12236,660,2,0,0,2,0
12243,12243,1103,1,0,0,0,1
12406,12406,1279,1,0,0,1,0
12411,12411,2372,2,1,1,0,0
12413,12413,2553,1,0,0,1,2
12421,12421,2328,1,0,0,1,1
12422,12422,1240,1,0,1,0,0
12427,12427,363,3,0,0,1,0
12429,12429,341,1,0,0,0,1
14022,14022,189,2,0,0,0,1
11645,11645,2333,3,0,0,0,2
11646,11646,4496,3,1,1,0,4
11802,11802,1396,1,3,0,0,2
11804,11804,1652,1,0,0,1,1
11825,11825,1181,1,0,0,0,2
12005,12005,2221,1,0,0,2,0
12014,12014,690,1,0,0,0,1
12202,12202,3263,2,0,1,2,2
12207,12207,3424,2,0,0,2,2
12219,12219,1037,1,0,0,1,2
10214,10214,5870,1,0,0,2,0
10219,10219,4696,0,0,0,2,0
10415,10415,570,1,1,0,0,0
10430,10430,384,1,1,0,0,2
10611,10611,371,1,0,0,0,2
10617,10617,1073,4,0,0,0,1
10624,10624,286,1,0,1,0,1
10805,10805,973,3,0,0,0,1
15601,15601,247,2,1,0,1,0
15616,15616,659,1,0,0,0,1
15622,15622,2392,1,0,0,0,1
15625,15625,460,1,0,1,0,1
15804,15804,210,1,1,0,0,1
15806,15806,434,1,1,1,0,1
15814,15814,3,0,0,0,1,0
16202,16202,296,2,0,0,0,1
